blockKey,cornerPt_x,cornerPt_z,V_x,V_z,theta_deg,R,R_authored,tl_A,sw_A,tl_B,sw_B,d_A,d_B,diff,ratio,regime,cuspFired,arcLen,rampLen,rampRatio,tlRings,swRings,aspRings,concentric,dropTreeLawn,selfInt,aChain,aSide,bChain,bSide,nArcVerts,nPrevStraightVerts,nNextStraightVerts,fbFound
"-599.5,-503.0",-748.46,-332.82,-755.40,-327.80,89.3,3.33,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.26,,,0,1,1,0,0,0,California Avenue,left,,,17,1,2,1
"-599.5,-503.0",-727.54,-429.13,-732.30,-434.50,91.6,3.45,no,0.00,1.52,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.33,,,0,1,1,0,0,0,Caroline Street,right,California Avenue,left,17,2,25,1
"-599.5,-503.0",-725.41,-437.12,-732.30,-434.50,88.3,3.27,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.24,,,0,1,0,0,0,0,,,Caroline Street,right,17,25,0,1
"-599.5,-503.0",-701.68,-525.91,-706.90,-529.50,90.7,3.40,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.30,,,0,1,0,0,0,0,Rutger Street,left,,,17,0,4,1
"-599.5,-503.0",-700.55,-530.14,-706.90,-529.50,89.4,3.33,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.27,,,0,1,0,0,0,0,,,Rutger Street,left,17,4,0,1
"-599.5,-503.0",-677.82,-615.57,-682.10,-622.70,90.0,3.36,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.28,,,0,1,0,0,0,0,Hickory Street,right,,,17,0,2,1
"-599.5,-503.0",-674.84,-626.75,-682.10,-622.70,90.1,3.37,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.28,,,0,1,0,0,0,0,,,Hickory Street,right,17,2,0,1
"-599.5,-503.0",-653.66,-706.42,-657.80,-714.10,89.7,3.35,no,,,,,,,,,NEITHER-EMITTED,0,5.27,,,0,0,0,0,0,0,,,,,17,0,0,0
"-599.5,-503.0",-449.83,-651.08,-442.70,-655.70,90.0,3.37,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,15.11,,,0,1,0,0,0,1,Ohio Avenue,right,,,34,0,4,1
"-188.5,-453.5",-70.06,-532.95,-64.40,-538.00,86.7,3.19,no,,,,,,,,,NEITHER-EMITTED,0,5.20,,,0,0,0,0,0,0,,,,,17,1,0,0
"-188.5,-453.5",-101.00,-438.10,-99.10,-431.60,93.0,3.54,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.37,,,0,1,0,0,0,0,Hickory Street,left,,,17,0,2,1
"-188.5,-453.5",-104.72,-427.12,-99.10,-431.60,86.7,2.09,no,,,0.00,1.52,1.89,1.89,0.00,1.00,SYM-NO-RAMP,1,3.41,,,0,1,1,0,0,0,,,Hickory Street,left,17,2,0,1
"-188.5,-453.5",-137.49,-328.16,-134.20,-325.60,102.2,2.75,no,,,,,,,,,NEITHER-EMITTED,0,10.58,,,0,0,0,0,0,0,,,,,34,0,0,0
"-188.5,-453.5",-306.59,-373.32,-316.10,-373.60,87.8,3.25,no,,,,,,,,,NEITHER-EMITTED,0,5.22,,,0,0,0,0,0,0,,,,,17,0,1,0
"-188.5,-453.5",-242.26,-579.34,-249.20,-587.80,92.2,3.49,no,,,,,,,,,NEITHER-EMITTED,0,5.35,,,0,0,0,0,0,0,,,,,17,1,1,0
"-811.5,-399.0",-760.25,-334.74,-755.40,-327.80,90.6,3.40,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-WITH-RAMP,0,5.30,2.00,0.38,1,1,1,0,0,0,,,California Avenue,right,17,2,0,1
"-811.5,-399.0",-884.28,-355.09,-893.20,-350.40,84.8,3.10,no,,,,,,,,,NEITHER-EMITTED,0,5.15,,,0,0,0,0,0,0,,,,,17,0,1,0
"-811.5,-399.0",-855.47,-463.18,-861.60,-469.10,90.1,3.37,no,,,,,,,,,NEITHER-EMITTED,0,5.29,,,0,0,0,0,0,0,,,,,17,1,0,0
"-811.5,-399.0",-739.13,-432.04,-732.30,-434.50,90.0,3.36,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-WITH-RAMP,0,5.28,2.00,0.38,1,1,0,0,0,0,California Avenue,right,,,17,0,2,1
